All Creatures Of Our God And King,6529800,"All creatures of our God and King
Lift up your voice and with us sing
O praise Him! Alleluia!
Thou, burning sun with golden beam
Thou, silver moon with softer gleam

O praise Him! O praise Him!
Alleluia! Alleluia! Alleluia!

Let all things their Creator bless
And worship Him in humbleness
O praise Him! Alleluia!
Praise, praise the Father, praise the Son
And praise the Spirit, Three-in-One

All the redeemed washed by His blood
Come and rejoice in His great love
O praise Him! Alleluia!
Christ has defeated every sin
Cast all your burdens now on Him

He shall return in pow’r to reign
Heaven and earth will join to say
O praise Him! Alleluia!
Then who shall fall on bended knee?
All creatures of our God and King"
"Come, O Sinner",,"VERSE 1
Come, O sinner, come and see
Christ the Lord upon a tree
See the crown of thorns adorn the King
Who labors to breathe in agony
Come, O sinner, come and see
What our God became to set us free

VERSE 2
Come, O sinner, come and mourn
For He calls your sin His own
Do you feel the weight of justice served?
He suffers the wrath that you deserve
Come, O sinner, come and mourn
For He bears the curse for all you’ve done

CHORUS
Oh the wonder of this awesome scene
Where our Savior bleeds
Oh the power of the love of God
Come and stand in awe

VERSE 3
Come, O sinner, come rejoice
Mercy fills this place of scorn
For He dies to save His enemies
That all who draw near may know His peace
Come, O sinner, come rejoice
Through the death of Christ death is destroyed"
Come Thou Fount of Every Blessing,108389,"Come Thou fount of every blessing
Tune my heart to sing Thy grace
Streams of mercy never ceasing
Call for songs of loudest praise

Teach me some melodious sonnet
Sung by flaming tongues above
Praise the mount, I'm fixed upon it
Mount of Thy redeeming love

Here I raise my Ebenezer
Hither by Thy help I've come
And I hope by Thy good pleasure
Safely to arrive at home

Jesus sought me when a stranger
Wandering from the fold of God
Here to rescue me from danger
Interposed His precious blood

Oh, to grace how great a debtor
Daily I'm constrained to be
Let Thy goodness like a fetter
Bind my wandering heart to Thee

Prone to wander, Lord I feel it
Prone to leave the God I love
Here's my heart, oh take and seal it
Seal it for Thy courts above

Oh, that day when freed from sinning
I shall see Thy lovely face
Full-arrayed in blood washed linen
How I'll sing Thy sovereign grace

Come my Lord, no longer tarry
Bring Thy promises to pass
For I know Thy pow’r will keep me
Till I'm home with thee at last"
To The Highest Place,7061554,"VERSE
Before the earth was made you were living
And over every heart you’ve been singing
Your very word spoke life into being
You even give the breath we are breathing

PRE-CHORUS
And now, we sing our songs back to you
Oh Lord, we gladly lay down our lives at your feet
We take the breath you gave
And we give it back in praise

CHORUS
'Cause you are exalted to the highest place
And you have the name above all other names
Lord you are exalted to the highest place
And you have the name above all other names

VERSE 2
Stepping down into a world you made
The uncreated God in a human frame
Creator dwelling with creation
You made yourself of no reputation

PRE-CHORUS
And you made yourself nothing for us
And you gave up your life for the least of men
You entered the gates of death
But rose with the keys in your hands

CHORUS
Now you are exalted to the highest place
And you have the name above all other names
Lord you are exalted to the highest place
And you have the name above all other names

BRIDGE
There is no one like you
There is none besides you
There is no one like you
There is none besides you"
God Is Good,7007922,"VERSE 1
Even when it seems the answer's no
The promises of God all find their Yes
In Christ who worked the Father's will below
That all who run to him would find their rest

VERSE 2
And even when it seems he hides his face
And darkness seems to be our only friend
We look to Christ who suffered in our place
That one day all our suffering would end

CHORUS
God is good, all of the time
All of the time, God is good
God is good, all of the time
All of the time, God is good

VERSE 3
And even when it seems he pays no mind
We have a guarantee of his great love
In Christ who came and left his crown behind
That one day we would reign with him above

BRIDGE
Lord, we believe
But help our unbelief
Lord, we believe
But help our hearts to sing

CHORUS 2
That you are good, all of the time
All of the time, you are good
You are good all, of the time
Your are good
Lord, you are good"
Build My Life,7070345,"VERSE 1
Worthy of every song we could ever sing
Worthy of all the praise we could ever bring
Worthy of every breath we could ever breathe
We live for You

VERSE 2
Jesus, the name above every other name
Jesus, the only one who could ever save
Worthy of every breath we could ever breathe
We live for You

CHORUS
Holy, there is no one like You
There is none beside You
Open up my eyes in wonder
Show me who You are
And fill me with Your heart
And lead me in Your love to those around me

BRIDGE
I will build my life upon Your love
It is a firm foundation
I will put my trust in You alone
And I will not be shaken"
Praise The Lord Ye Heavens,7026992,"VERSE 1
Praise the Lord Ye heavens adore him
Praise him angels in the height
Sun and moon, rejoice before him
Praise him, all ye stars of light

VERSE 2
Praise the Lord for he hath spoken
Worlds his mighty voice obeyed
Laws which never shall be broken
For their guidance he hath made

CHORUS
All creation join the song of praise
Let every tongue declare His mighty ways
And we will sing of Your goodness and mercy all of our days

VERSE 3
Praise the Lord for he is glorious
Never shall his promise fail
God hath made his saints victorious
Sin and death shall not prevail

BRIDGE
Glory! Glory! All glory to You Lord!

VERSE 4
Praise the God of our salvation
Hosts on high, his power proclaim
Heaven and earth, and all creation
Laud and magnify his Name"
I Lay It All,7096631,"VERSE 1
When troubles come, when darkness crowds
When fortunes fail and loss surrounds
My soul is weak, but Christ is strong
And so to him I leave it all
For he who holds all things
Can bear each care I bring

CHORUS
So, I lay it all on Jesus
Steadfast is the love of Jesus
He hears my cry, he’s faithful
I lay it all on Jesus

VERSE 2
When questions rise, when faith wears thin
When fears come fast, and truth grows dim
The One Who saved will not forsake
I’ll trust his word and trust his way
For he who bore my blame
Can bear each care I name

BRIDGE
I am weak; you are strong
Jesus, come and take it all
All my cares I cast on You

TAG
I lay it all, I lay it all on Jesus"
It Is Well,4509365,"When peace like a river, attendeth my way,
When sorrows like sea billows roll;
Whatever my lot, Thou hast taught me to say
It is well, it is well, with my soul.

Though Satan should buffet, though trials should come,
Let this blest assurance control,
That Christ has regarded my helpless estate,
And hath shed His own blood for my soul.

It is well, (it is well),
With my soul, (with my soul)
It is well, it is well, with my soul.

My sin, oh, the bliss of this glorious thought!
My sin, not in part but the whole,
Is nailed to the cross, and I bear it no more,
Praise the Lord, praise the Lord, O my soul!

And Lord, haste the day when the faith shall be sight,
The clouds be rolled back as a scroll;
The trump shall resound, and the Lord shall descend,
Even so, it is well with my soul"
Turn Your Eyes,7057893,"VERSE 1
Turn your eyes upon Jesus
Look full in His wonderful face
And the things of earth will grow strangely dim
In the light of His glory and grace

VERSE 2
Turn your eyes to the hillside
Where justice and mercy embraced
There the Son of God gave His life for us
And our measureless debt was erased

CHORUS
Jesus, to You we lift our eyes
Jesus, our glory and our prize
We adore You, behold You, our Savior ever true
Oh Jesus, we turn our eyes to You

VERSE 3
Turn your eyes to the morning
And see Christ the Lion awake
What a glorious dawn, fear of death is gone
For we carry His life in our veins

VERSE 4
Turn your eyes to the heavens
Our King will return for His own
Every knee will bow, every tongue will shout,
‘All glory to Jesus alone!"
